"Acacia campylacantha","Acacia nilotica","Acacia reficiens","Annona senegalensis","Brachystegia spiciformis","Bridelia scleroneura","Burkea africana","Cassia abbreviata","Combretum apiculatum","Diospyros mespiliformis","Diplorhynchus condylocarpon","Ekebergia capensis","Julbernardia globiflora","Julbernardia paniculata","Margaritaria discoides","Markhamia obtusifolia ","Millettia stuhlmannii","Philenoptera wankieensis","Pseudolachnostylis maprouneifolia","Pteoleopsis myrtifolia","Pterocarpus angolensis","Strychnos cocculoides","Vitex Payos","Xeroderris stuhlmannii","Afzelia quanzensis","Brachystegia boehmii","Combretum adenogonium","Commiphora pilosa","Cremaspora triflora","Dalbergia melanoxylon","Diospyros fischeri","Ficus sansibarica","Grewia microcarpa","Hymenaea verrucosa","Hymenocardia ulmoides","Markhamia obtusifolia","Ochna holstii ","Phyllanthus maderaspatensis","Suregada zanzibariensis","Tragia brevipes","unknown","Uvaria kirkii","Uvaria lucida","Grewia conocarpa","Manilkara discolor","Markhamia sp2.","Maytenus senegalensis","Syzygium guineense","Allophylus africanus","Brachystegia boehmii ","Flacourtia indica","Margaritaria discoides ","Pericopsis angolensis","Rytigynia sp.","Spirostachys africana","Strychnos cocculoides ","Vangueria acutiloba","Combretum zeyheri","Combretum binderianum ","Kigalia pinatta","Ochna holstii","Pteoleopsis myrtifolia ","Pterocarpus angolensis ","Salvadora persica","Sclerocarya birrea","Tamarindus indica","Bauhinia petersiana","Combretum binderianum","Lannea stuhlmannii","Swartzia madagascariensis","Terminalia sericea","Parinari curatellifolia","Ormocarpum kirkii"
2,3,1,2,6,1,5,1,104,1,32,2,18,14,8,2,1,7,14,1,1,2,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,25,10,4,1,17,8,18,7,7,13,18,0,1,6,35,0,0,0,0,14,87,3,4,22,2,7,12,227,347,259,67,11,34,194,1,3,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,205,57,0,1,0,0,0,16,8,0,0,82,5,1,0,55,0,12,0,0,12,6,0,8,78,1,0,0,33,10,108,16,0,16,240,0,0,6,0,1,197,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,46,0,0,85,34,1,1,3,0,3,4,0,0,32,0,30,0,10,2,349,6,4,48,0,0,0,21,0,619,0,0,0,7,0,27,3,0,0,0,0,0,0,43,1,1,8,2,70,6,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,3,0,48,0,94,0,188,1,7,3,2,0,10,1,46,11,4,9,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,8,0,0,1,110,0,301,1,41,0,0,0,12,0,101,9,0,4,3,1,0,1,0,0,0,4,18,0,1,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,1,1,1,4,1,3,1,2,2,0,0,0,0,0,0,0
1,9,0,62,1,0,155,0,123,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
1,4,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,12,7,0,0,0,0,0
1,0,0,0,24,1,25,2,44,0,159,0,8,0,0,11,4,1,31,11,2,27,0,12,0,14,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,22,0,0,66,0,0,0,2,0,0,76,1,10,3,0,0
1,58,0,0,0,0,7,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
0,8,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,11,0,216,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0
0,114,9,39,0,0,0,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,11,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
3,0,0,0,16,0,10,0,30,11,260,0,3,18,0,0,5,0,0,1,11,12,2,0,0,0,3,1,0,1,8,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,2,0,0,0,0,0,27,0
1,12,6,0,18,25,0,4,22,10,55,6,22,0,0,0,0,1,25,1,1,29,0,1,4,5,0,3,0,48,11,0,0,0,44,0,5,0,20,0,0,0,4,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,11,0,23,0,13,2,26,0,355,0,14,0,0,0,1,0,29,7,8,4,5,0,0,3,0,0,0,4,1,0,5,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
3,3,6,2,17,0,0,1,50,1,63,0,0,0,2,0,0,1,21,2,1,0,0,2,0,0,5,5,0,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,2,0,8,3,116,1,3,0,1,0,0,0,20,0,22,39,0,6,4,1,0,21,1,10,0,0,4,0,70,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,17,0,0,36,0,0,0,0,0,0,6,2,0,0,0,1
0,0,4,0,2,2,4,3,138,1,144,0,74,0,0,1,24,5,34,21,4,28,0,1,2,5,18,0,0,1,5,0,34,0,44,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,7,40,0,0,0,0,0,23,0,0,18,0,0,0,7,1,0,2,1,0,0,0,0
0,0,0,1,46,1,12,4,46,0,167,0,7,1,1,0,0,5,12,4,10,0,0,5,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,3,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,1,74,2,259,0,15,0,0,0,30,0,45,5,17,22,3,4,1,41,0,0,0,0,2,0,5,2,194,32,0,2,0,0,4,1,0,10,0,0,0,0,0,0,6,25,0,0,0,0,0,24,0,0,17,0,0,0,1,0,0,14,9,0,0,1,0
12,2,11,0,8,1,7,0,160,0,53,0,26,0,0,0,0,5,15,7,1,5,0,3,0,2,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,17,1,0,0,0,0,0,0,0
0,26,3,0,0,0,0,2,92,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
19,9,0,0,1,0,0,0,29,4,0,0,42,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,35,30,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,3,5,8,0,1,0,0,2,0
0,0,0,27,3,65,26,10,10,0,1,0,0,0,0,95,36,0,64,5,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
